id;titulo;descripcion;fecha;hora;organizador;presentadores;cantidad_asientos_totales;fila_asientos;columna_asientos
1;but never ouch;excepting considering brr;2025-11-13;00:40:00;revitalise efface lounge;bleakly culture taro;27997;3968;6521
2;scuffle;blah brr;2025-11-13;05:57:00;until;eek;23129;9970;13750
3;normal;outgoing;2025-11-13;14:02:00;sans;hence;22763;29967;6946
4;pace;repentant likable case;2025-11-13;15:36:00;utilized mountain grandiose;pish closely frozen;12546;8501;2985
5;whoa;besmirch ah;2025-11-13;23:18:00;sympathetically excepting wound;husk gosh ugh;25070;10948;11149
6;gee begonia;round;2025-11-13;21:10:00;savour;fluff above bah;15472;23708;6193
7;complete cleverly onto;whether;2025-11-13;23:46:00;fellow on;planula;19862;23637;31637
8;collectivization;ouch meanwhile;2025-11-13;17:41:00;grandiose healthily sudden;emboss;3327;9164;12691
9;home squirm strictly;illusion fax indelible;2025-11-13;14:15:00;which provided;beneficial probable;4811;1844;7688
10;upward;honored pro likewise;2025-11-13;13:52:00;ack till;pfft;8949;14026;21378
